"nameaffiliation","year","num_papers"
"Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)","2006","2"
"Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)","1995","1"
"Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)","2009","1"
"Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)","2005","1"
"Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)","1992","1"
"Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)","2004","1"
"Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)","2003","2"
"Institut de Bioenginyeria de Catalunya (IBEC)","2018","1"
"Institut de Bioenginyeria de Catalunya (IBEC)","2017","3"
"Institut de Bioenginyeria de Catalunya (IBEC)","2016","1"
"Institut de Bioenginyeria de Catalunya (IBEC)","2015","2"
"Institut de Bioenginyeria de Catalunya (IBEC)","2008","1"
"Institut de Bioenginyeria de Catalunya (IBEC)","2014","3"
"Institut de Bioenginyeria de Catalunya (IBEC)","2013","2"
"Institut de Bioenginyeria de Catalunya (IBEC)","2012","6"
"Institut de Bioenginyeria de Catalunya (IBEC)","2011","7"
"Institut de Bioenginyeria de Catalunya (IBEC)","2010","13"
"Institut de Bioenginyeria de Catalunya (IBEC)","1999","1"
"Institut de Bioenginyeria de Catalunya (IBEC)","2009","11"
"Institut de Bioenginyeria de Catalunya (IBEC)","2004","2"
"Institut de Bioenginyeria de Catalunya (IBEC)","2003","1"
"Institut de Bioenginyeria de Catalunya (IBEC)","2002","1"
"Institut de Bioenginyeria de Catalunya (IBEC)","2006","3"
"Institut de Bioenginyeria de Catalunya (IBEC)","1996","1"
"Institut de Bioenginyeria de Catalunya (IBEC)","2007","3"
"Institut de Bioenginyeria de Catalunya (IBEC)","1990","1"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","1990","1"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","1985","1"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","1994","1"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2001","2"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","1999","2"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","1996","1"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","1993","1"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","1983","1"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2000","1"
